id_boleto,cpf_cliente,descricao,valor,data_emissao,data_vencimento,status,forma_pagamento,linha_digitavel,data_pagamento
BOL-00017,164.752.553-51,Venda de polímeros técnicos,7256.7,0026-07-21,0026-08-11,Pendente,Boleto,60140 15075 71694 39154 36158,
BOL-00018,276.483.503-51,Fornecimento de nafta petroquimica,20656.98,0026-06-10,0026-07-08,Pago,PIX,62227 53025 46517 19099 46585,0026-07-06
BOL-00019,276.483.503-51,Fornecimento de nafta petroquimica,17244.34,0026-06-10,0026-07-10,Pago,Boleto,44237 33405 86099 44795 15014,0026-07-10
BOL-00020,276.483.503-51,Fornecimento de combustível a granel,9165.63,0026-05-10,0026-06-09,Pago,Boleto,60488 85574 34914 43386 15817,0026-06-10
BOL-00021,276.483.503-51,Fornecimento de combustível a granel,840.93,0026-07-26,0026-08-25,Pendente,PIX,57739 66531 19171 97062 53279,
BOL-00022,276.483.503-51,Fornecimento de nafta petroquimica,16853.98,0026-07-15,0026-08-12,Pendente,Cartão de Crédito,76469 50538 97410 63528 52753,
BOL-00023,953.767.242-55,Venda de resinas plásticas,14216.78,0026-07-25,0026-08-22,Pendente,Transferência (TED),97153 59695 98777 32810 90676,
BOL-00024,953.767.242-55,Fornecimento de nafta petroquimica,10627.02,0026-07-08,0026-08-05,Pendente,Cartão de Crédito,47606 37549 66346 86019 89516,
BOL-00025,953.767.242-55,Venda de lubrificantes automotivos,12052.71,0026-07-19,0026-08-16,Pendente,PIX,77000 72021 32241 96356 21114,
BOL-00026,953.767.242-55,Venda de polímeros técnicos,3059.97,0026-06-02,0026-06-30,Pago,Cartão de Crédito,39444 36100 29313 13201 16057,0026-06-28
BOL-00027,953.767.242-55,Venda de lubrificantes automotivos,15592.83,0026-05-28,0026-06-27,Pago,PIX,60328 74799 62383 41979 29342,0026-06-29
BOL-00028,965.328.710-95,Venda de resinas plásticas,19637.77,0026-08-01,0026-08-16,Pendente,PIX,77889 70889 16582 83060 42662,
BOL-00029,965.328.710-95,Fornecimento de combustível a granel,4026.81,0026-05-12,0026-06-11,Vencido,Cartão de Crédito,68008 90301 76162 65933 81810,
BOL-00030,697.848.018-50,Fornecimento de combustível a granel,11691.69,0026-05-17,0026-06-16,Pago,Transferência (TED),92149 41358 45992 67654 20155,0026-06-15
BOL-00031,697.848.018-50,Fornecimento de solventes industriais,6474.74,0026-07-27,0026-08-24,Pendente,Cartão de Crédito,80798 20561 28136 29769 40311,
BOL-00032,697.848.018-50,Venda de lubrificantes automotivos,17895.34,0026-06-15,0026-07-06,Vencido,Cartão de Crédito,81121 71069 64496 18161 37110,
BOL-00033,697.848.018-50,Fornecimento de combustível a granel,22697.09,0026-06-19,0026-07-19,Pago,Transferência (TED),72518 10772 56105 49139 61116,0026-07-14
BOL-00034,697.848.018-50,Venda de lubrificantes automotivos,12615.15,0026-06-19,0026-07-10,Vencido,Boleto,60968 54057 97670 99016 62994,
BOL-00035,704.828.148-02,Venda de lubrificantes automotivos,24533.47,0026-06-25,0026-07-16,Vencido,Boleto,21003 94246 66179 27786 70515,
BOL-00036,704.828.148-02,Venda de lubrificantes automotivos,7095.78,0026-05-20,0026-06-04,Vencido,Cartão de Crédito,54236 59692 46471 65255 43065,
BOL-00037,704.828.148-02,Fornecimento de solventes industriais,1269.08,0026-05-07,0026-06-06,Vencido,PIX,95215 18993 95426 15276 14067,
BOL-00038,809.570.154-88,Venda de lubrificantes automotivos,15836.32,0026-05-22,0026-06-06,Vencido,Boleto,83920 38569 70952 43586 58351,
BOL-00039,809.570.154-88,Fornecimento de solventes industriais,19622.56,0026-05-18,0026-06-02,Vencido,Boleto,85849 13365 50888 85470 98781,
BOL-00040,809.570.154-88,Fornecimento de combustível a granel,23583.59,0026-06-14,0026-07-14,Vencido,PIX,23356 49529 99687 88697 25866,
BOL-00041,182.278.248-11,Venda de polímeros técnicos,16808.82,0026-06-10,0026-07-10,Vencido,Cartão de Crédito,11658 65057 74251 23833 66822,
BOL-00042,182.278.248-11,Venda de polímeros técnicos,17916.87,0026-06-12,0026-07-12,Vencido,Cartão de Crédito,90728 80539 73372 70931 67091,
BOL-00043,578.713.315-31,Venda de lubrificantes automotivos,20903.69,0026-06-07,0026-06-28,Vencido,PIX,70910 84691 89997 97580 59674,
BOL-00044,578.713.315-31,Venda de lubrificantes automotivos,12762.22,0026-06-09,0026-06-24,Vencido,PIX,56507 43862 54608 46655 88139,
BOL-00045,578.713.315-31,Fornecimento de combustível a granel,14250.14,0026-07-25,0026-08-22,Pendente,PIX,21221 41635 63271 74038 82768,
BOL-00046,578.713.315-31,Venda de polímeros técnicos,17512.75,0026-08-02,0026-08-23,Pendente,Transferência (TED),68743 12260 22196 48566 39045,
BOL-00047,031.051.834-26,Fornecimento de combustível a granel,8210.19,0026-07-24,0026-08-14,Pendente,Cartão de Crédito,72031 82544 79588 55056 65771,
BOL-00048,031.051.834-26,Venda de lubrificantes automotivos,9313.81,0026-07-31,0026-08-28,Pendente,Cartão de Crédito,50189 42951 40217 25814 35242,
BOL-00049,031.051.834-26,Venda de resinas plásticas,18777.72,0026-06-06,0026-06-21,Pago,PIX,73464 46241 87278 78765 88222,0026-06-18
BOL-00050,031.051.834-26,Fornecimento de solventes industriais,20949.61,0026-06-02,0026-06-17,Vencido,PIX,49618 11854 80010 26591 45954,
BOL-00051,031.051.834-26,Venda de polímeros técnicos,14191.29,0026-05-02,0026-05-17,Pago,Transferência (TED),23446 11607 85243 47268 71524,0026-05-14
BOL-00052,997.376.311-45,Venda de lubrificantes automotivos,5261.6,0026-06-22,0026-07-20,Vencido,Boleto,18564 62521 74454 19710 85631,
BOL-00053,997.376.311-45,Fornecimento de nafta petroquimica,4471.79,0026-07-16,0026-07-31,Pago,PIX,25525 83147 64548 89471 88135,0026-07-30
BOL-00054,997.376.311-45,Venda de lubrificantes automotivos,19571.78,0026-07-15,0026-08-05,Pendente,Transferência (TED),68028 48974 87139 66207 50026,
BOL-00055,997.376.311-45,Venda de polímeros técnicos,15553.07,0026-07-08,0026-07-23,Pago,PIX,44687 96563 20641 30585 41439,0026-07-21
BOL-00056,997.376.311-45,Venda de polímeros técnicos,4588.09,0026-05-19,0026-06-03,Vencido,Transferência (TED),48175 14278 40340 47762 47056,
